;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 02;Theta O1 02;Alpha O1 02;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S2;Resting Open;0.020262044890343618;0.027395006120723233;0.022709271449423706;0.01967963731707871;0.02488669917515187;0.035639195937259525;0.06329511922824992;0.051762469269199245;0.09118559997694073;0.10423074606332446;0.2432960037034095;0.19115507110421553
S3;Resting Open;0.03458997415914368;0.021158670076200335;0.011016354183028071;0.022903514557080035;0.03529240522072986;0.03767257677441015;0.029777852032213958;0.0720882873098081;0.11577986014826963;0.11820545489389113;0.1264089136262412;0.26588755020345556
S5;Resting Open;0.006719426508771375;0.009285930763212177;0.027247091491101463;0.017253439829995488;0.031671394028923015;0.018455156073987542;0.07267210306325163;0.0436712341641604;0.2317981612882552;0.08489632294494757;0.23335219102933286;0.14415516161490236
S6;Resting Open;0.007741869820749857;0.01327855687708136;0.031726391540617335;0.016393695308285657;0.01096228169451532;0.026455776246629554;0.10011225084717366;0.05678352419653272;0.05545202223481813;0.10396081623358086;0.27782265067258294;0.2435897863949794
S7;Resting Open;0.02038702589682741;0.02680788338568538;0.010777325717851411;0.011316705389338344;0.039043343428144;0.04724128604593015;0.034654491734325145;0.04716911686253212;0.15998636395468718;0.17576686887061801;0.13639929931565076;0.21663353538147515
S10;Resting Open;0.018256429572220956;0.01753257422003871;0.02488083229960616;0.013138110036391737;0.022904900182308088;0.029056005343625145;0.07252996876354603;0.050995688994864924;0.09882969010041016;0.11073058465939681;0.235981473251642;0.2173116439627793
S11;Resting Open;0.007840669590708844;0.014394518642110313;0.03928948041255743;0.01094817618712872;0.015118931883871312;0.02400777303481122;0.13187939370463272;0.030847354878219022;0.050256859138216724;0.07143371602467172;0.4589985122862607;0.10261524905582255
S13;Resting Open;0.01867918460030338;0.02429462725279037;0.01236233499224215;0.03329924383658247;0.036549918779360785;0.039260951340600446;0.026143366828022027;0.07286992684039559;0.13428150113346685;0.16471218942074367;0.09854152613076823;0.24912697995728844
S14;Resting Open;0.0223320064706325;0.01898129763924406;0.026278874602004183;0.01671836022463072;0.03039851554007125;0.034907658718738514;0.055514388237071194;0.0511937334542344;0.08770340095808699;0.1351723153140273;0.1990875883990364;0.2352270054001743
S16;Resting Open;0.033267590752056396;0.031017578624877386;0.011166907559178138;0.014173652219214346;0.038255337579829365;0.04843154604163143;0.029367065523783844;0.057502352578634876;0.131524109933183;0.1594119608595749;0.11531179495414516;0.21942713665149186
S18;Resting Open;0.02126644619386075;0.030273453958963654;0.024583984357421367;0.02365739794480958;0.02472716830979833;0.04436331930619582;0.05034692371500343;0.054920726073361785;0.08616984179098396;0.14190706706982334;0.1727753578684814;0.20653706242937467
S19;Resting Open;0.015039066355400444;0.022625816082268147;0.020798881130250278;0.01333334779012454;0.03641654617946724;0.04819597187749189;0.06223711286330201;0.03235709411278702;0.1310454596252543;0.17452345534665972;0.24537449227863153;0.12946813370739735
S20;Resting Open;0.04909835259833517;0.031050034845751025;0.0187756493771043;0.016709725219283364;0.0323890926619324;0.03384973040091155;0.046035458060360135;0.052801392596249615;0.09975052822341765;0.10147954892333212;0.18843002231116138;0.22382735918331562
S22;Resting Open;0.026287744405473466;0.02404342282431736;0.015392571639168325;0.05127193640388741;0.03262320747882533;0.03699244061255632;0.04066901625269925;0.07623763493411208;0.11041636005252549;0.12359372251760312;0.1538371100776451;0.19878448108648406
S24;Resting Open;0.01605095146207446;0.02205090121619982;0.016177333500465747;0.01264691207656858;0.03874555235212705;0.05215631033295623;0.038819596226795254;0.03537871194674607;0.18382684167843652;0.2236186757817229;0.15204338772773152;0.14428927828955557
S2;Resting;0.0066867873456987695;0.01598714854242542;0.04268778928353839;0.013436050762178664;0.012230962176064447;0.02339019853531533;0.11835907995692889;0.034720280077662175;0.049030614824912215;0.07459673670039126;0.404274936759917;0.1458085153263016
S3;Resting;0.009056778607726764;0.009898935655376433;0.02052812776981517;0.030195095314077987;0.0190584897386428;0.02546978295685774;0.06148376359259224;0.0940022068462361;0.0785095473676492;0.08347556758133501;0.1958522780428066;0.3227653261549113
S5;Resting;0.004532632626951812;0.006249488346139075;0.039627767851716865;0.027301195134474387;0.01315046999490022;0.015984919470375055;0.1003386358175331;0.06934278176509188;0.06847001992723571;0.07088599773459228;0.3127115090569178;0.22110499582238205
S6;Resting;0.004687623727172358;0.008082065029142238;0.03875417760573537;0.012585866841458784;0.00855246766367799;0.019175924451066;0.13668629215831046;0.04507668862424053;0.03546683458907804;0.07534285269065455;0.3899504342549538;0.18278113739026128
S7;Resting;0.01264477165997383;0.0163778372495623;0.022456127458908178;0.01295106777279771;0.0144342855974786;0.0329207270761682;0.06627661771951739;0.051957850036617015;0.08469893352065636;0.1273438158718309;0.21009665660538052;0.27089106043030614
S10;Resting;0.002723533826396785;0.006242819111118361;0.04380973056944681;0.006262363384126947;0.009027039750894687;0.012986147167697743;0.1376313393036913;0.025244209955876968;0.04686962842378232;0.057731336763569334;0.5016310500245589;0.10777884279614434
S11;Resting;0.0030752479314392466;0.0037225534507498662;0.04214749987615787;0.005139181455456916;0.005020084051656731;0.006505390398866703;0.15191331909058836;0.013459457585010399;0.01724056644734785;0.025313018410675056;0.6546139964409546;0.050766276773539495
S13;Resting;0.017374799491876945;0.018818429336487662;0.015726777272319532;0.03241658673826263;0.03413590621666477;0.03286088434236772;0.0365695999183505;0.07819156757780826;0.12301455605088539;0.13597575484754684;0.13443154917055608;0.2704281984523622
S14;Resting;0.008563986959864898;0.009918511122941613;0.04092970208167529;0.010096553776170107;0.018513402319641187;0.021098707196574827;0.1070068121339107;0.03178931946615109;0.07046135008723219;0.07020646002584376;0.4132118437336109;0.15218412061518305
S16;Resting;0.010235970377484516;0.012452405124924106;0.04030831730523099;0.012973075076654147;0.012036187480929533;0.023132084493479473;0.10462088837355428;0.04115286223537719;0.04008412887411136;0.08108636079887592;0.4132638780388158;0.1549472037915979
S18;Resting;0.012383543706939365;0.02198124098400866;0.023588383165477782;0.021405958851721463;0.018927262382799934;0.03732802336189042;0.057526948075079014;0.05919535757391068;0.08705930899038378;0.14287458054801047;0.21967427678362242;0.2251222427358288
S19;Resting;0.00653260381278452;0.014571204211262482;0.03369839220491775;0.008196342987050102;0.01574514364250337;0.038569863262346876;0.10995473322727158;0.023358924487820513;0.05046047122337931;0.14951468653468408;0.41960690226144504;0.09547420661292641
S20;Resting;0.008240534713218483;0.008722140897016385;0.05666613438648066;0.010829666771087475;0.014585415602379234;0.010954995825064207;0.14735618865393801;0.02778716507527525;0.035352770452513484;0.03549404869047537;0.5210784938726818;0.09623473354617713
S22;Resting;0.012696204631222697;0.014555798841193308;0.034766715507848336;0.04761024849686273;0.016077561883126746;0.021866237909178066;0.08712072544615987;0.06608432079033212;0.06824129240611683;0.05850569762186912;0.31245979183042527;0.16053485753903932
S24;Resting;0.004605826495216753;0.004084229888982776;0.04656296708256305;0.00349163576102479;0.005853263813329747;0.005678245515474733;0.16351101423037753;0.0102503878959318;0.024592921095879336;0.024868633736428156;0.6369817566576028;0.04416593996656663
S2;Acuity;0.013895308104604901;0.031141903358900328;0.01745379688043048;0.013918159836755482;0.030933175071087105;0.06714571326273573;0.04183843902337828;0.039184067919514516;0.10922075689174468;0.21633889081032087;0.1659652884962934;0.17652664407424207
S3;Acuity;0.03611064475587259;0.0212306418861597;0.013728978533829178;0.016559134670951613;0.0466742681674932;0.04298763796184646;0.03499240166509389;0.05001889441219261;0.15470669818689006;0.1679009833969558;0.12864203110987493;0.1999723219790129
S5;Acuity;0.014340491258202066;0.023687088214414235;0.04325041221991077;0.021727289264676073;0.042432936081133465;0.05244768496200344;0.08018952647793817;0.047381423970595374;0.11199225878154574;0.1192196021337973;0.22169837569789033;0.15667591023797758
S6;Acuity;0.013333441515611206;0.020571445953419715;0.012299511796986391;0.01741744073949294;0.02856782110347728;0.04520088959982044;0.03393678968028422;0.05035281762478522;0.11563633986647948;0.16683523700547911;0.15665269071347956;0.2619231351985505
S7;Acuity;0.016837034518361008;0.031531437153026136;0.010742161841696548;0.012230317020190805;0.029492283734903767;0.06440972967985632;0.0315057365269544;0.04518655287786533;0.13362215616490383;0.23729451358132775;0.12171033180866495;0.2019201847667145
S10;Acuity;0.015679721442886617;0.029686573321142506;0.01478929272972509;0.015697900813631472;0.017436805388782183;0.0479354428238999;0.03824153662133994;0.05576348923151328;0.11517041233510585;0.16121564722999476;0.15672352827177113;0.24411199010255594
S11;Acuity;0.013231358565496544;0.03159472246962713;0.02256014545520448;0.023313813349901555;0.029407221725318598;0.05183479637833203;0.045106286373584624;0.05611417163331432;0.1270620479603595;0.17627658645941818;0.1617968335740811;0.18765140560921406
S13;Acuity;0.026568164392524102;0.03921408472411204;0.016127768267711094;0.027855141913195516;0.038765009279264316;0.05847416441293939;0.030630103891083636;0.05387314598344813;0.14312806816453266;0.1810352242846592;0.1047028501660048;0.19005726937569437
S14;Acuity;0.018385722816078143;0.017600546629857217;0.029453291422587465;0.017629628018574414;0.030804931739596194;0.030797337981779107;0.05392237599348361;0.051154877664108186;0.13021128808080923;0.12164143307213807;0.18057292368970723;0.23812081738300395
S16;Acuity;0.014924183129049372;0.02558724641824134;0.01774786998442416;0.016793501594671335;0.025729323978642117;0.05167832101512934;0.04345143050241617;0.06278006976128735;0.10509205561419846;0.16482864055580868;0.16939114976879474;0.2409181311819145
S18;Acuity;0.010046835583304572;0.028024674406082677;0.01648439800346451;0.03465376141964403;0.016052684381916676;0.04947666969404584;0.035245638849515655;0.05959009465865817;0.0696062180603255;0.20843823646272705;0.17138031700714382;0.2082681009642682
S19;Acuity;0.017620004816046725;0.04781285522096159;0.02311536848081536;0.01665425880845276;0.027876981735784703;0.07238523000412035;0.05230019293238758;0.037344809892074934;0.07569844083622493;0.21770858031574106;0.19489112032021416;0.14748285396460617
S20;Acuity;0.02132264982138706;0.03880862819171558;0.018798682741574108;0.018123074751522437;0.04215924622958935;0.06509806732015043;0.04023011665419176;0.04159289092217828;0.14695404575665807;0.2026298965670107;0.14219990949880154;0.16704010975455255
S22;Acuity;0.02699743057273844;0.04220037771574236;0.01722101340590985;0.025772004075662797;0.038464892665748866;0.06661548173521493;0.03309266495164659;0.05131313379467427;0.11984028008991975;0.2114269028898046;0.10462538507429092;0.17194068093136347
S24;Acuity;0.012226687016770271;0.019220001326680704;0.022279471094267252;0.014204306876267005;0.023058578728128373;0.04842340827963291;0.04736215078041006;0.038739725717697314;0.12305170074412985;0.2371091172356031;0.1964350768313058;0.15987200432633344
